Source File / Class / Function / Call Stack,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,CYCLE_ACTIVITY.STALLS_L1D_MISS,CYCLE_ACTIVITY.STALLS_L2_MISS,CYCLE_ACTIVITY.STALLS_L3_MISS,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CYCLE_ACTIVITY.STALLS_MEM_ANY,MEM_INST_RETIRED.ALL_LOADS_PS,MEM_INST_RETIRED.ALL_STORES_PS,MEM_LOAD_RETIRED.FB_HIT_PS,EXE_ACTIVITY.2_PORTS_UTIL,FP_ARITH_INST_RETIRED.128B_PACKED_DOUBLE,FP_ARITH_INST_RETIRED.256B_PACKED_SINGLE,FP_ARITH_INST_RETIRED.SCALAR_SINGLE,IDQ_UOPS_NOT_DELIVERED.CORE,INT_MISC.RECOVERY_CYCLES,L1D_PEND_MISS.FB_FULL,L1D_PEND_MISS.PENDING,OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD,OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,UOPS_ISSUED.ANY,UOPS_RETIRED.RETIRE_SLOTS
c900643c707c8e99a4ca65ca7582aa8fa8f4a8cc.c,"17,480,026,220","15,480,023,220","1,600,002,400","508,780,525","821,701,232,550","556,520,834,780","515,140,772,710",283340000000,1046632000000,827121240680,186982109295,5639084585,12130018195,70810106215,10000015,206150309225,9590014385,57120085680,1860002790,32820049230,1875422813130,12431538647280,1052401578600,423780635670,395070592605
 [Unknown],"17,480,026,220","15,480,023,220","1,600,002,400","508,780,525","821,701,232,550","556,520,834,780","515,140,772,710",283340000000,1046632000000,827121240680,186982109295,5639084585,12130018195,70810106215,10000015,206150309225,9590014385,57120085680,1860002790,32820049230,1875422813130,12431538647280,1052401578600,423780635670,395070592605
  [Loop at line 53 in Forward$omp$parallel@42],"16,840,025,260","14,950,022,425","1,560,002,340","506,530,390","813,021,219,530","551,090,826,635","510,110,765,165",266616000000,1024752000000,818121227180,174795243700,4919073785,11110016665,67890101835,10000015,203750305625,450000675,48210072315,1810002715,32510048765,1854982782470,12227918341850,1033791550685,400300600450,371860557790
  [Loop at line 50 in Forward$omp$parallel@42],"630,000,945","520,000,780","10,000,015","2,250,135","8,310,012,465","5,110,007,665","4,940,007,410",16240000000,20460000000,8700013050,12031860945,641009615,960001440,2850004275,0,2400003600,9130013695,5490008235,40000060,280000420,18850028275,192240288360,17390026085,22830034245,22740034110
  [Loop at line 35 in Forward],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000015,0,0,0,0,0,0,0
  [Loop at line 47 in Forward$omp$parallel@42],0,0,0,0,0,0,0,0,4000000,0,0,0,0,0,0,0,0,10000015,0,0,0,20000030,10000015,0,0
  [Loop at line 48 in Forward$omp$parallel@42],0,0,0,0,0,"20,000,030","10,000,015",4000000,68000000,0,1000030,0,0,0,0,0,0,180000270,10000015,0,40000060,400000600,10000015,10000015,0
  [Loop at line 49 in Forward$omp$parallel@42],"10,000,015","10,000,015","30,000,045",0,"370,000,555","300,000,450","80,000,120",476000000,1340000000,300000450,154004620,78001170,60000090,70000105,0,0,10000015,3220004830,0,30000045,1550002325,10960016440,1200001800,640000960,470000705
  [Loop at line 92 in Forward],0,0,0,0,0,0,0,4000000,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Forward$omp$parallel@42,0,0,0,0,0,0,0,0,4000000,0,0,1000015,0,0,0,0,0,0,0,0,0,0,0,0,0
